Company,Sectors,Sub Sector
Bharti Airtel Ltd,Telecommunications,Telecom Service
Vodafone Idea Ltd,Telecommunications,Telecom Service
Tata Communications Ltd,Telecommunications,Telecom Service
Bharti Hexacom Ltd,Telecommunications,Telecom Service
Tata Teleservices (Maharashtra) Ltd,Telecommunications,Telecom Service
Mahanagar Telephone Nigam Ltd,Telecommunications,Telecom Service
RailTel Corporation of India Ltd,Telecommunications,Telecom Service
Hathway Cable & Datacom Ltd,Telecommunications,Telecom Service
OnMobile Global Ltd,Telecommunications,Telecom Service
Nettlinx Ltd,Telecommunications,Telecom Service
City Online Services Ltd,Telecommunications,Telecom Service
Quadrant Televentures Ltd,Telecommunications,Telecom Service
Indus Towers Ltd,Telecommunications,Telecom Infrastructure
Tejas Networks Ltd,Telecommunications,Telecom Infrastructure
HFCL Ltd,Telecommunications,Telecom Infrastructure
GTL Infrastructure Ltd,Telecommunications,Telecom Infrastructure
GTL Ltd,Telecommunications,Telecom Infrastructure
NELCO Ltd,Telecommunications,Telecom Infrastructure
Optiemus Infracom Ltd,Telecommunications,Telecom Infrastructure
Uniinfo Telecom Services Ltd,Telecommunications,Telecom Infrastructure
Suyog Telematics Ltd,Telecommunications,Telecom Infrastructure
ADC India Communications Ltd,Telecommunications,Telecom Infrastructure
Frog Cellsat Ltd,Telecommunications,Telecom Infrastructure
Kore Digital Ltd,Telecommunications,Telecom Infrastructure
Valiant Communications Ltd,Telecommunications,Telecom Infrastructure
Steelman Telecom Ltd,Telecommunications,Telecom Infrastructure
Punjab Communications Ltd,Telecommunications,Telecom Infrastructure
Maruti Suzuki India Ltd,Automobile,Vehicles
Mahindra & Mahindra Ltd,Automobile,Vehicles
Tata Motors,Automobile,Vehicles
Bajaj Auto,Automobile,Motorcycles / Mopeds
Eicher Motors,Automobile,Vehicles
Hyundai Motor India Ltd,Automobile,Vehicles
TVS Motor Co.,Automobile,Motorcycles / Mopeds
Ashok Leyland,Automobile,Vehicles
Escorts Kubota,Automobile,Vehicles
Exide Industries Ltd,Automobile,Auto Ancillaries
Force Motors,Automobile,Vehicles
VST Tillers Tractors Ltd,Automobile,Vehicles
SML ISUZU,Automobile,Vehicles
Apollo Tyres,Automobile,Auto Ancillaries
Atul Auto,Automobile,Motorcycles / Mopeds
CEAT,Automobile,Auto Ancillaries
Urja Global,Automobile,Motorcycles / Mopeds
Wardwizard Innovations & Mobility Ltd,Automobile,Motorcycles / Mopeds
Hindustan Motors,Automobile,Vehicles
MRF,Automobile,Auto Ancillaries
Hero Motocorp,Automobile,Motorcycles / Mopeds
HBL Engineering,Automobile,Auto Ancillaries
CIE Automotive India Ltd,Automobile,Auto Ancillaries
Schaeffler India,Automobile,Auto Ancillaries
Varroc Engineering Ltd,Automobile,Auto Ancillaries
Dhanlaxmi Bank ,Finance,Banks
State Bank of India,Finance,Banks
Bank of Baroda ,Finance,Banks
Punjab National Bank,Finance,Banks
Union Bank of India,Finance,Banks
Canara Bank ,Finance,Banks
Indian Bank ,Finance,Banks
Indian Overseas Bank,Finance,Banks
Bank of India ,Finance,Banks
UCO Bank ,Finance,Banks
Bank of Maharashtra,Finance,Banks
Central Bank of India,Finance,Banks
Punjab & Sind Bank,Finance,Banks
HDFC Bank ,Finance,Banks
ICICI Bank ,Finance,Banks
Kotak Mahindra Bank Ltd,Finance,Banks
Axis Bank ,Finance,Banks
IDBI Bank ,Finance,Banks
IndusInd Bank ,Finance,Banks
Yes Bank ,Finance,Banks
Federal Bank ,Finance,Banks
IDFC First Bank ,Finance,Banks
AU Small Finance Bank Ltd,Finance,Banks
Bandhan Bank ,Finance,Banks
Karur Vysya Bank Ltd,Finance,Banks
City Union Bank ,Finance,Banks
Jammu and Kashmir Bank Ltd,Finance,Banks
RBL Bank ,Finance,Banks
Ujjivan Small Finance Bank Ltd,Finance,Banks
Equitas Small Finance Bank Ltd,Finance,Banks
Karnataka Bank ,Finance,Banks
Tamilnad Mercantile Bank Ltd,Finance,Banks
South Indian Bank Ltd,Finance,Banks
CSB Bank ,Finance,Banks
Jana Small Finance Bank Ltd,Finance,Banks
DCB Bank ,Finance,Banks
Utkarsh Small Finance Bank Ltd,Finance,Banks
ESAF Small Finance Bank Ltd,Finance,Banks
Suryoday Small Finance Bank Ltd,Finance,Banks
Capital Small Finance Bank Ltd,Finance,Banks
RBL Bank Ltd,Finance,Banks
Fino Payments Bank Ltd,Finance,Banks
BSE Ltd,Finance,Financial Services 
Multi Commodity Exchange of India Ltd,Finance,Financial Services 
Central Depository Services (India) Ltd,Finance,Financial Services 
KFin Technologies Ltd,Finance,Financial Services 
Computer Age Management Services Ltd,Finance,Financial Services 
Indian Energy Exchange Ltd,Finance,Financial Services 
Life Insurance Corporation of India,Finance,Insurance
SBI Life Insurance Company Ltd ,Finance,Insurance
HDFC Life Insurance Company Ltd,Finance,Insurance
ICICI Lombard General Insurance Company Ltd,Finance,Insurance
ICICI Prudential Life Insurance Company Ltd,Finance,Insurance
General Insurance Corporation of India,Finance,Insurance
New India Assurance Company Ltd,Finance,Insurance
Go Digit General Insurance Ltd,Finance,Insurance
Star Health & Allied Insurance Company Ltd,Finance,Insurance
Niva Bupa Health Insurance Company Ltd,Finance,Insurance
Embassy Office Parks REIT,Finance,Real Estate Investment Trusts
Mindspace Business Parks REIT,Finance,Real Estate Investment Trusts
Nexus Select Trust ,Finance,Real Estate Investment Trusts
Brookfield India Real Estate Trust ,Finance,Real Estate Investment Trusts
Property Share Investment Trust- Propshare Platina,Finance,Real Estate Investment Trusts
CRISIL,Finance, Credit Rating Agencies 
ICRA,Finance, Credit Rating Agencies 
CARE Ratings,Finance, Credit Rating Agencies 
Motilal Oswal Financial Services Ltd,Finance,Stock/ Commodity Brokers
Angel One,Finance,Stock/ Commodity Brokers
Nuvama Wealth Management Ltd ,Finance,Stock/ Commodity Brokers
Prudent Corporate Advisory Services Ltd,Finance,Stock/ Commodity Brokers
IIFL Capital Services Ltd,Finance,Stock/ Commodity Brokers
